Field=Fitted~String~Fitted~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Manufacturer~String~Manufacturer~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=PackageReference~String~PackageReference~100|Field=Value~String~Value~100|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~TIDM_TM4C129CAMERA.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\AD14\Examples\Projects\TIDM_TM4C129CAM\TIDM_TM4C129CAMERA.PrjPcb|ReportField=Title~PDS BOM For Project [TIDM_TM4C129CAMERA.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~18|ReportField=ReportTime~3:02:57 PM|ReportField=ReportDate~8/23/2016|ReportField=ReportDateTime~8/23/2016 3:02:57 PM|ReportField=OutputName~PDS BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=CopyrightYear~2016|ReportField=EVM_Orderable~No|ReportField=PCB_Layout~Amit Ashara|ReportField=PCB_Rev~A0|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Amit Ashara|ReportField=PRJ_Number~TIDM_TM4C129CAMERA|ReportField=PRJ_Title~TIDM_TM4C129CAMERA|ReportField=SCH_Rev~A0|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~TIDM_TM4C129CAMERA|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~8/23/2016|ReportField=CurrentTime~2:54:38 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\AD14\Examples\Projects\TIDM_TM4C129CAM\TIDM_TM4C129CAMERA.SchDoc|ReportField=DocumentName~TIDM_TM4C129CAMERA.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/23/2016|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=ProjectName~TIDM_TM4C129CAMERA.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~TIDM_TM4C129CAMERA.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\AD14\Examples\Projects\TIDM_TM4C129CAM\TIDM_TM4C129CAMERA.PrjPcb
Fitted|Printed Circuit Board|!PCB|Any|TIDM_TM4C129CAMERA|1||
Fitted|CAP, CERM, 1 µF, 10 V, +/- 10%, X7R, 0603|C1|MuRata|GRM188R71A105KA61D|1|0603|1uF
Fitted|CAP, CERM, 0.1 µF, 10 V, +/- 10%, X7R, 0603|C2, C3, C4|Kemet|C0603C104K8RACTU|3|0603|0.1uF
Fitted|Fiducial mark.  There is nothing to buy or mount.|FID1, FID2, FID3|N/A|N/A|3|Fiducial|
Fitted|Receptacle, 2.54mm, 10x2, Gold, TH|J1|Samtec|SSW-110-21-S-D|1|Receptacle, 2.54mm, 10x2, TH|
Fitted|Header, 100mil, 3x1, Gold, TH|J2, J3|Samtec|TSW-103-07-G-S|2|3x1 Header|
Fitted|Header, 100mil, 16x2, Gold, TH|J4, J5|Samtec|TSW-116-07-G-D|2|16x2 Header|
Fitted|Header, 2.54 mm, 2x1, Tin, TH|J6|Samtec|TSW-102-07-T-S|1|Header, 2.54 mm, 2x1, TH|
Fitted|RES, 10 k, 5%, 0.1 W, 0603|R1|Vishay-Dale|CRCW060310K0JNEA|1|0603|10k
Fitted|SINGLE 2-INPUT POSITIVE-OR GATE, DBV0005A|U1|Texas Instruments|SN74LVC1G32QDBVRQ1|1|DBV0005A|
Fitted|Dual 2-Input Positive-NAND Gate, DCT0008A|U2|Texas Instruments|SN74LVC2G00DCTR|1|DCT0008A|
Fitted|OCTAL BUFFER/DRIVER WITH 3-STATE OUTPUTS, PW0020A|U3|Texas Instruments|SN74ALVC244PWR|1|PW0020A|
